"SUID","Degree","Edge_type","log2FoldChange","name","Regulatury","selected","SelfLoops","shared name","type"
"93687","5","mRNA-miRNA","2.38432305414949","SPARC","UP","false","0","SPARC","mRNA"
"93688","0","mRNA-miRNA","-2.20578991496128","RPS6KA6","DOWN","false","0","RPS6KA6","mRNA"
"93689","0","mRNA-miRNA","1.30960525154424","FAM83D","UP","false","0","FAM83D","mRNA"
"93690","3","mRNA-miRNA","2.12324031972887","KCNN4","UP","false","0","KCNN4","mRNA"
"93691","0","mRNA-miRNA","-3.27023493221988","SCNN1B","DOWN","false","0","SCNN1B","mRNA"
"93692","0","mRNA-miRNA","-2.60802871530264","PLP1","DOWN","false","0","PLP1","mRNA"
"93693","3","mRNA-miRNA","-0.784184219061612","NSRP1","DOWN","false","0","NSRP1","mRNA"
"93694","1","mRNA-miRNA","2.78906183061729","SRMS","UP","false","0","SRMS","mRNA"
"93695","1","mRNA-miRNA","1.30616216535499","DYRK3","UP","false","0","DYRK3","mRNA"
"93696","0","mRNA-miRNA","1.15121217233319","IPO11","UP","false","0","IPO11","mRNA"
"93697","9","mRNA-miRNA","-3.9103749945074","PCK1","DOWN","false","0","PCK1","mRNA"
"93698","9","mRNA-miRNA","-1.32501084805323","CPT1A","DOWN","false","0","CPT1A","mRNA"
"93699","4","mRNA-miRNA","0.942978045447048","LPCAT1","UP","false","0","LPCAT1","mRNA"
"93700","1","mRNA-miRNA","-2.21096462384479","PLCD1","DOWN","false","0","PLCD1","mRNA"
"93701","2","mRNA-miRNA","1.6148990311713","PRMT3","UP","false","0","PRMT3","mRNA"
"93702","0","mRNA-miRNA","-2.36256532601127","COL4A6","DOWN","false","0","COL4A6","mRNA"
"93703","3","mRNA-miRNA","-1.04439727762969","S100A10","DOWN","false","0","S100A10","mRNA"
"93704","0","mRNA-miRNA","2.20539290706394","CCDC170","UP","false","0","CCDC170","mRNA"
"93705",,"mRNA-miRNA","1.87936935275085","CTTNBP2","UP","false",,"CTTNBP2","mRNA"
"93706","1","mRNA-miRNA","1.50934013859439","IFRD2","UP","false","0","IFRD2","mRNA"
"93707","2","mRNA-miRNA","2.7453579897604","SCD","UP","false","0","SCD","mRNA"
"93708","1","mRNA-miRNA","1.30702236015844","PRR16","UP","false","0","PRR16","mRNA"
"93709","3","mRNA-miRNA","1.14441307311713","NHP2","UP","false","0","NHP2","mRNA"
"93710","2","mRNA-miRNA","2.90048715980249","ZC3HAV1L","UP","false","0","ZC3HAV1L","mRNA"
"93711","1","mRNA-miRNA","-1.34733701316794","ZADH2","DOWN","false","0","ZADH2","mRNA"
"93712","0","mRNA-miRNA","2.02734042009401","ORC6","UP","false","0","ORC6","mRNA"
"93713","5","mRNA-miRNA","-1.03095362037345","STX12","DOWN","false","0","STX12","mRNA"
"93714","2","mRNA-miRNA","1.3621171751246","EIF2S3","UP","false","0","EIF2S3","mRNA"
"93715","8","mRNA-miRNA","-1.30899997372457","ACAT1","DOWN","false","0","ACAT1","mRNA"
"93716",,"mRNA-miRNA","2.11795746606653","RPL13P12","UP","false",,"RPL13P12","mRNA"
